0	영
1	일
2	이
3	삼
4	사
5	오
7	칠
8	팔
10	십
11	십일
13	십삼
15	십오
16	십육
17	십칠
20	이십
27	이십칠
29	이십구
30	삼십
34	삼십사
40	사십
43	사십삼
45	사십오
56	오십육
60	육십
80	팔십
88	팔십팔
91	구십일
101	백일
119	백십구
121	백이십일
218	이백십팔
285	이백팔십오
352	삼백오십이
353	삼백오십삼
354	삼백오십사
406	사백육
413	사백십삼
500	오백
518	오백십팔
524	오백이십사
548	오백사십팔
715	칠백십오
730	칠백삼십
755	칠백오십오
835	팔백삼십오
1013	천십삼
1026	천이십육
1212	천이백십이
1260	천이백육십
1543	천오백사십삼
1575	천오백칠십오
1766	천칠백육십육
1900	천구백
1966	천구백육십육
1986	천구백팔십육
1988	천구백팔십팔
2002	이천이
2004	이천사
2009	이천구
2012	이천십이
2013	이천십삼
2016	이천십육
2017	이천십칠
2020	이천이십
2023	이천이십삼
2026	이천이십육
2030	이천삼십
2032	이천삼십이
2033	이천삼십삼
2040	이천사십
2043	이천사십삼
2050	이천오십
2052	이천오십이
2105	이천백오
2106	이천백육
2111	이천백십일
2123	이천백이십삼
2138	이천백삼십팔
2139	이천백삼십구
2147	이천백사십칠
2149	이천백사십구
2203	이천이백삼
2204	이천이백사
2213	이천이백십삼
3000	삼천
4050	사천오십
24601	이만사천육백일
12월	십이월
00교회	땡땡교회
0건	영건
0건입니다	영건입니다
0명	영명
0명의	영명의
0원	영원
0이고	영이고
0이라는	영이라는
1·2인실	일이인실
1000명에	천명에
1000명을	천명을
1000배나	천배나
1000여	천여
1000일	천일
1000일이	천일이
100km의	백킬로미터의
100m	백미터
100개	백개
100년	백년
100년을	백년을
100년의	백년의
100년이	백년이
100년이라는	백년이라는
100대	백대
100를	백를
100만개의	백만개의
100만불이나	백만불이나
100만원의	백만원의
100만이	백만이
100명	백명
100명의	백명의
100명이	백명이
100분	백분
100분토론	백분토론
100분토론마저도	백분토론마저도
100분토론에서	백분토론에서
100살까지	백살까지
100세	백세
100억원	백억원
100억원에	백억원에
100억이	백억이
100여	백여
100여명의	백여명의
100원	백원
100원을	백원을
100원이	백원이
100이	백이
100일간	백일간
100일간의	백일간의
100일을	백일을
100일이	백일이
100일째	백일째
100점	백점
100점을	백점을
100주년을	백주년을
100퍼센트	백퍼센트
1020만	천이십만
1020만원을	천이십만원을
1020에	천이십에
103만원이면	백삼만원이면
1040조에	천사십조에
104조원이	백사조원이
1057곳을	천오십칠곳을
1060원	천육십원
1060원이	천육십원이
1060원짜리	천육십원짜리
1060조	천육십조
106개의	백육개의
106중	백육중
107년	백칠년
108만	백팔만
109년이	백구년이
10가	십가
10그루	열그루
10년	십년
10년간	십년간
10년만인	십년만인
10년을	십년을
10년이	십년이
10년이나	십년이나
10년이라는	십년이라는
10달	열달
10도	십도
10만개를	십만개를
10만여	십만여
10만의	십만의
10명	열명
10명의	열명의
10미터가	십미터가
10배	열배
10번	열번
10분	십분
10분간	십분간
10분동안	십분동안
10분의	십분의
10살	열살
10시	열시
10시간	열시간
10시에	열시에
10억	십억
10억건	십억건
10억엔이	십억엔이
10억이	십억이
10억짜리	십억짜리
10에서	십에서
10여	십여
10여년	십여년
10원	십원
10원씩을	십원씩을
10월	십월
10월7일	십월칠일
10월의	십월의
10월이	십월이
10월장소는	십월장소는
10의	십의
10일	십일
10일에도	십일에도
10조원	십조원
10층짜리	십층짜리
10환짜리	십환짜리
110개	백십개
110억	백십억
110억원대	백십억원대
111일	백십일일
112신고	일일이신고
1130조원	천백삼십조원
1185억	천백팔십오억
1187명이	천백팔십칠명이
118위	백십팔위
1191번째	천백구십일번째
119개	백십구개
119에	일일구에
11년	십일년
11년간	십일년간
11년에	십일년에
11달	열한달
11대	열한대
11명	열한명
11명의	열한명의
11살	열한살
11살이	열한살이
11살짜리	열한살짜리
11세기	십일세기
11시간쯤	열한시간쯤
11시에	열한시에
11월	십일월
11월로	십일월로
11월의	십일월의
11일	십일일
11조원	십일조원
12·28	일이이팔
1200명의	천이백명의
1200장	천이백장
120km	백이십킬로미터
120m의	백이십미터의
120개국	백이십개국
120년	백이십년
120만명에	백이십만명에
120명이	백이십명이
120여	백이십여
121명이라는	백이십일명이라는
123은	백이십삼은
1240억원	천이백사십억원
1246번째	천이백사십육번째
125대	백이십오대
125로	백이십오로
125명의	백이십오명의
125인	백이십오인
1260만	천이백육십만
126km입니다	백이십육킬로미터입니다
126만원	백이십육만원
126억	백이십육억
1270만원	천이백칠십만원
12km	십이킬로미터
12m	십이미터
12㎡	십이미터제곱
12겹	열두겹
12관왕을	십이관왕을
12년째	십이년째
12달이	열두달이
12만	십이만
12명	열두명
